
-------------------------------------------------------------------------------
log file opened: 17-Apr-2013 17:54:38 NLX time:    740505840
-------------------------------------------------------------------------------
    1    752076742    0    0   255 #     752076.742 ms 	NLX_TRIAL_START
    3    752106510    0    0   253 #     752106.510 ms 	NLX_TRIALPARAM_START
   13    752181190    0    0     2 # +       27.433 ms 	NLX_RECORD_START
   15    752199622    0    0     4 # +       18.432 ms 	NLX_SUBJECT_START
   16    752706226    0    0     8 # +      506.604 ms 	NLX_STIM_ON
   18    752882958    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   20    753059721    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   22    753236484    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   24    753413216    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   26    753589979    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   28    753766742    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   30    753943474    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   32    754120237    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   34    754297000    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   36    754473762    0    0     8 # +      176.762 ms 	NLX_STIM_ON
   38    754650495    0    0     8 # +      176.733 ms 	NLX_STIM_ON
   40    754827257    0    0     8 # +      176.762 ms 	NLX_STIM_ON
   42    755003990    0    0     8 # +      176.733 ms 	NLX_STIM_ON
   44    755180753    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   46    755357515    0    0     8 # +      176.762 ms 	NLX_STIM_ON
   48    755534278    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   50    755711041    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   52    755887773    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   54    756064536    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   56    756241299    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   58    756418031    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   60    756594794    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   62    756771526    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   64    756948289    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   66    757125052    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   68    757301815    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   70    757478547    0    0    16 # +      176.732 ms 	NLX_STIM_OFF
   71    757490344    0    0    32 # +       11.797 ms 	NLX_SUBJECT_END
   73    757507086    0    0    64 # +       16.742 ms 	NLX_RECORD_END
   75    757619767    0    0   251 # +      112.681 ms 	NLX_STIMPARAM_START
  141    758015686    0    0   128 # +       12.011 ms 	NLX_READ_DATA
