
-------------------------------------------------------------------------------
log file opened: 17-Apr-2013 18:02:58 NLX time:   1240300032
-------------------------------------------------------------------------------
    1   1245319858    0    0   255 # +      -34.253 ms 	NLX_TRIAL_START
    3   1245354111    0    0   253 #    1245354.111 ms 	NLX_TRIALPARAM_START
   13   1245429282    0    0     2 # +       27.433 ms 	NLX_RECORD_START
   15   1245447192    0    0     4 # +       17.910 ms 	NLX_SUBJECT_START
   16   1245953796    0    0     8 # +      506.604 ms 	NLX_STIM_ON
   18   1246130528    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   20   1246307291    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   22   1246484054    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   24   1246660817    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   26   1246837549    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   28   1247014312    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   30   1247191044    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   32   1247367807    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   34   1247544569    0    0     8 # +      176.762 ms 	NLX_STIM_ON
   36   1247721332    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   38   1247898065    0    0     8 # +      176.733 ms 	NLX_STIM_ON
   40   1248074827    0    0     8 # +      176.762 ms 	NLX_STIM_ON
   42   1248251560    0    0     8 # +      176.733 ms 	NLX_STIM_ON
   44   1248428322    0    0     8 # +      176.762 ms 	NLX_STIM_ON
   46   1248605085    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   48   1248781848    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   50   1248958580    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   52   1249135343    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   54   1249312106    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   56   1249488869    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   58   1249665601    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   60   1249842364    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   62   1250019127    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   64   1250195859    0    0     8 # +      176.732 ms 	NLX_STIM_ON
   66   1250372622    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   68   1250549385    0    0     8 # +      176.763 ms 	NLX_STIM_ON
   70   1250726117    0    0    16 # +      176.732 ms 	NLX_STIM_OFF
   71   1250737913    0    0    32 # +       11.796 ms 	NLX_SUBJECT_END
   73   1250755178    0    0    64 # +       17.265 ms 	NLX_RECORD_END
   75   1250968836    0    0   251 # +      213.658 ms 	NLX_STIMPARAM_START
  141   1251364755    0    0   128 # +       11.981 ms 	NLX_READ_DATA
